product_id,total_qty_sold,total_sales_revenue,total_qty_purchased,total_purchase_cost,avg_daily_qty_out,sell_through_ratio,gross_margin_realized,calculated_margin_percentage,margin_mismatch_flag
P001,41304,1295293440.0,749292,17628471993.8688,16.97701667417756,0.0551240370910139,0.3957270408163265,29.3,False
P002,40917,34763083.2,764701,487629935.9002,16.75529517800811,0.0535071877766604,0.4703389830508475,60.0,True
P003,41712,61525200.0,754421,835337198.9546,17.088778729157276,0.0552900833884528,0.4440677966101695,52.4,False
P004,40891,2083151104.0,740161,28218521068.352,16.789094186570527,0.0552460883510479,0.3620445979899497,22.5,False
P005,40480,437831680.0,759066,6152948639.0144005,16.61559260928346,0.0533286960554154,0.4129068047337278,33.1,False
P006,41843,599861248.0,751495,8084946250.0864,17.086074808472286,0.0556796785075083,0.3966238839285714,29.5,False
P007,42156,72128916.0,755069,972785692.2864,17.168995042812078,0.0558306591847897,0.4272355347749854,48.0,False
P008,41059,28100779.6,726479,374385033.9028,16.814781433077965,0.0565178071217475,0.5032144944476914,70.6,False
P009,40547,773312384.0,736336,10550236819.1104,16.7602523659306,0.0550658938310771,0.3996434563758389,30.1,False
P010,42292,1889268224.0,764284,25624879168.9344,17.402433528616495,0.0553354512197036,0.3530623209169054,20.8,False
P011,42093,1487061504.0,754640,19988827372.5568,17.42767012167643,0.0557789144492738,0.3914175724637681,28.4,False
P012,41549,130297664.0,761229,1796241733.824,17.021631365479944,0.0545814728550804,0.4260204081632653,36.1,False
P013,39927,68315097.0,740939,951905329.524,16.430374042361425,0.0538870271371867,0.4447691408533021,52.6,False
P014,40574,4336549120.0,764100,61336169259.0592,16.61153672825597,0.0531003795314749,0.3590943113772455,21.9,False
P015,40815,6216940800.0,734499,83899061595.648,16.77602523659306,0.0555684895418509,0.3730304621848739,24.6,False
P016,41770,502743720.0,733675,6638766612.6608,17.157728706624606,0.0569325655092513,0.3519441674975074,30.8,False
P017,40920,25108512.0,761754,350510853.162,16.765660207300584,0.0537181294748698,0.4784876140808344,62.5,False
P018,40752,589436928.0,748671,8127754268.8384,16.61649391617846,0.0544324543090356,0.433075221238938,37.8,False
P019,41543,2116366592.0,722890,27619577097.6256,17.031545741324923,0.0574679411805392,0.3875628140703517,27.6,False
P020,40915,55521655.0,724414,739166871.835,16.86931050022533,0.0564801342878519,0.447310243183493,53.3,False
P021,41864,2475669504.0,743914,32906744629.5808,17.033799008562415,0.0562753221474525,0.3979978354978355,29.8,False
P022,41297,893336704.0,753909,12218164970.7648,16.81162685894547,0.054777168066703,0.408284023668639,32.0,False
P023,40276,667614976.0,758185,9429716372.5568,16.553853086976115,0.0531215996095939,0.444980694980695,40.8,False
P024,39486,520583424.0,757049,7481864911.0912,16.189274447949526,0.0521577863520062,0.4387135922330097,39.2,False
P025,41091,380625933.0,757080,5245738959.793,16.990536277602523,0.0542756379774924,0.3954442405268271,40.2,False
P026,40407,14780880.6,729339,200053786.4724,16.617395223073455,0.0554022203666607,0.5079278294149808,72.2,False
P027,40870,23148768.0,734376,312133148.768,16.907165389815233,0.0556526901750601,0.5409604519774012,84.6,False
P028,41292,109630260.0,725809,1440025589.3374,17.077061739522307,0.0568910002493769,0.4538606403013183,55.2,False
P029,42702,199034022.0,745514,2605366104.919,17.416854438936458,0.057278602413905,0.4099978545376528,43.6,False
P030,41595,1165991040.0,733833,15384482640.4864,17.145561063542136,0.0566818336051935,0.4149543378995434,33.5,False
